programme_id,codigo_ruct,university_name,sector,ccaa,modality,degree,centro,sources,sources_count,ruct_anchored,fallback_flag
P0001,,Centro Universitario CEU Andalucia,adscrito,Andalucia,presencial,infantil,Centro Universitario CEU Andalucia,adscritos_pilot_seed,1,False,cross_validation_only
P0002,,Centro Universitario de Magisterio Sagrado Corazon,adscrito,Andalucia,presencial,infantil,Centro Universitario de Magisterio Sagrado Corazon,adscritos_pilot_seed,1,False,cross_validation_only
P0003,,Centro de Estudios Universitarios Cardenal Spinola CEU,adscrito,Andalucia,presencial,infantil,Centro de Estudios Universitarios Cardenal Spinola CEU,adscritos_pilot_seed,1,False,cross_validation_only
P0004,,Centro Universitario CEU Andalucia,adscrito,Andalucia,presencial,primaria,Centro Universitario CEU Andalucia,adscritos_pilot_seed,1,False,cross_validation_only
P0005,,Centro Universitario de Magisterio Sagrado Corazon,adscrito,Andalucia,presencial,primaria,Centro Universitario de Magisterio Sagrado Corazon,adscritos_pilot_seed,1,False,cross_validation_only
P0006,,Centro de Estudios Universitarios Cardenal Spinola CEU,adscrito,Andalucia,presencial,primaria,Centro de Estudios Universitarios Cardenal Spinola CEU,adscritos_pilot_seed,1,False,cross_validation_only
P0007,,Centro Universitario Padre Enrique de Osso,adscrito,Cataluna,presencial,infantil,Centro Universitario Padre Enrique de Osso,adscritos_pilot_seed,1,False,cross_validation_only
P0008,,Centro Universitario Salesiano de Sarria,adscrito,Cataluna,presencial,infantil,Centro Universitario Salesiano de Sarria,adscritos_pilot_seed,1,False,cross_validation_only
P0009,,Centro Universitario EUSES,adscrito,Cataluna,presencial,primaria,Centro Universitario EUSES,adscritos_pilot_seed,1,False,cross_validation_only
P0010,,Centro Universitario Padre Enrique de Osso,adscrito,Cataluna,presencial,primaria,Centro Universitario Padre Enrique de Osso,adscritos_pilot_seed,1,False,cross_validation_only
P0011,,Centro Universitario Salesiano de Sarria,adscrito,Cataluna,presencial,primaria,Centro Universitario Salesiano de Sarria,adscritos_pilot_seed,1,False,cross_validation_only
P0012,,Centro Superior de Estudios Universitarios La Salle,adscrito,Madrid,presencial,infantil,Centro Superior de Estudios Universitarios La Salle,adscritos_pilot_seed,1,False,cross_validation_only
P0013,,Centro Superior de Estudios Universitarios Maria Cristina,adscrito,Madrid,presencial,infantil,Centro Superior de Estudios Universitarios Maria Cristina,adscritos_pilot_seed,1,False,cross_validation_only
P0014,,Centro Universitario ESCUNI,adscrito,Madrid,presencial,infantil,Centro Universitario ESCUNI,adscritos_pilot_seed,1,False,cross_validation_only
P0015,,Centro Universitario Villanueva,adscrito,Madrid,presencial,infantil,Centro Universitario Villanueva,adscritos_pilot_seed,1,False,cross_validation_only
P0016,,Centro Universitario de Magisterio Virgen de Europa,adscrito,Madrid,presencial,infantil,Centro Universitario de Magisterio Virgen de Europa,adscritos_pilot_seed,1,False,cross_validation_only
P0017,,Centro de Ensenanza Superior Cardenal Cisneros,adscrito,Madrid,presencial,infantil,Centro de Ensenanza Superior Cardenal Cisneros,adscritos_pilot_seed,1,False,cross_validation_only
P0018,,Centro de Ensenanza Superior Don Bosco,adscrito,Madrid,presencial,infantil,Centro de Ensenanza Superior Don Bosco,adscritos_pilot_seed,1,False,cross_validation_only
P0019,,Escuela Universitaria Cardenal Cisneros (Alcala),adscrito,Madrid,presencial,infantil,Escuela Universitaria Cardenal Cisneros (Alcala),adscritos_pilot_seed,1,False,cross_validation_only
P0020,,Centro Superior de Estudios Universitarios La Salle,adscrito,Madrid,presencial,primaria,Centro Superior de Estudios Universitarios La Salle,adscritos_pilot_seed,1,False,cross_validation_only
P0021,,Centro Superior de Estudios Universitarios Maria Cristina,adscrito,Madrid,presencial,primaria,Centro Superior de Estudios Universitarios Maria Cristina,adscritos_pilot_seed,1,False,cross_validation_only
P0022,,Centro Universitario CEU La Salle,adscrito,Madrid,presencial,primaria,Centro Universitario CEU La Salle,adscritos_pilot_seed,1,False,cross_validation_only
P0023,,Centro Universitario ESCUNI,adscrito,Madrid,presencial,primaria,Centro Universitario ESCUNI,adscritos_pilot_seed,1,False,cross_validation_only
P0024,,Centro Universitario Villanueva,adscrito,Madrid,presencial,primaria,Centro Universitario Villanueva,adscritos_pilot_seed,1,False,cross_validation_only
P0025,,Centro Universitario de Magisterio Virgen de Europa,adscrito,Madrid,presencial,primaria,Centro Universitario de Magisterio Virgen de Europa,adscritos_pilot_seed,1,False,cross_validation_only
P0026,,Centro de Ensenanza Superior Cardenal Cisneros,adscrito,Madrid,presencial,primaria,Centro de Ensenanza Superior Cardenal Cisneros,adscritos_pilot_seed,1,False,cross_validation_only
P0027,,Centro de Ensenanza Superior Don Bosco,adscrito,Madrid,presencial,primaria,Centro de Ensenanza Superior Don Bosco,adscritos_pilot_seed,1,False,cross_validation_only
P0028,,Escuela Universitaria Cardenal Cisneros (Alcala),adscrito,Madrid,presencial,primaria,Escuela Universitaria Cardenal Cisneros (Alcala),adscritos_pilot_seed,1,False,cross_validation_only
P0029,,Universidad Isabel I,private-online,Castilla y Leon,online,infantil,,acsucyl_live_probe;educaweb,2,False,cross_validation_only
P0030,,Universidad Europea Miguel de Cervantes,private-online,Castilla y Leon,online,primaria,,educaweb,1,False,cross_validation_only
P0031,,Universidad Isabel I,private-online,Castilla y Leon,online,primaria,,acsucyl_live_probe;educaweb,2,False,cross_validation_only
P0032,,Universidad Internacional de Valencia (VIU),private-online,Comunitat Valenciana,online,infantil,,avap_live_probe;educaweb_pilot_fallback,2,False,cross_validation_only
P0033,,Universidad Internacional de Valencia (VIU),private-online,Comunitat Valenciana,online,primaria,,avap_live_probe;educaweb_pilot_fallback,2,False,cross_validation_only
P0034,,Universidad Internacional de La Rioja (UNIR),private-online,La Rioja,online,infantil,,aneca;educaweb_pilot_fallback,2,False,cross_validation_only
P0035,,Universidad Internacional de La Rioja (UNIR),private-online,La Rioja,online,primaria,,aneca;educaweb_pilot_fallback,2,False,cross_validation_only
P0036,,Universidad a Distancia de Madrid (UDIMA),private-online,Madrid,online,infantil,,aneca;educaweb;educaweb_pilot_fallback;madrimasd_pilot_seed,3,False,cross_validation_only
P0037,,Universidad a Distancia de Madrid (UDIMA),private-online,Madrid,online,primaria,,aneca;educaweb;educaweb_pilot_fallback;madrimasd_pilot_seed,3,False,cross_validation_only
P0038,,Universidad Loyola Andalucia,private-traditional,Andalucia,presencial,infantil,,aacdeva_pilot_seed;educaweb_pilot_fallback,2,False,cross_validation_only
P0039,,Universidad Loyola Andalucia,private-traditional,Andalucia,presencial,primaria,,aacdeva_pilot_seed;educaweb_pilot_fallback,2,False,cross_validation_only
P0040,,Universidad San Jorge,private-traditional,Aragon,presencial,infantil,,educaweb,1,False,cross_validation_only
P0041,,Universidad San Jorge,private-traditional,Aragon,presencial,primaria,,educaweb,1,False,cross_validation_only
P0042,,Universidad del Atlantico Medio,private-traditional,Canarias,presencial,infantil,,aneca;educaweb,2,False,cross_validation_only
P0043,,Universidad del Atlantico Medio,private-traditional,Canarias,presencial,primaria,,aneca;educaweb,2,False,cross_validation_only
P0044,,Universidad Catolica de Avila,private-traditional,Castilla y Leon,presencial,infantil,,acsucyl_live_probe;aneca;educaweb;educaweb_pilot_fallback,3,False,cross_validation_only
P0045,,Universidad Pontificia de Salamanca,private-traditional,Castilla y Leon,presencial,infantil,,acsucyl_live_probe;aneca;educaweb;educaweb_pilot_fallback,3,False,cross_validation_only
P0046,,Universidad Catolica de Avila,private-traditional,Castilla y Leon,presencial,primaria,,acsucyl_live_probe;aneca;educaweb;educaweb_pilot_fallback,3,False,cross_validation_only
P0047,,Universidad Pontificia de Salamanca,private-traditional,Castilla y Leon,presencial,primaria,,acsucyl_live_probe;aneca;educaweb;educaweb_pilot_fallback,3,False,cross_validation_only
P0048,,Universitat Abat Oliba CEU,private-traditional,Cataluna,presencial,infantil,,aqu_live_probe;educaweb_pilot_fallback,2,False,cross_validation_only
P0049,,Universitat Internacional de Catalunya (UIC),private-traditional,Cataluna,presencial,infantil,,aqu_live_probe;educaweb;educaweb_pilot_fallback,2,False,cross_validation_only
P0050,,Universitat Ramon Llull (URL),private-traditional,Cataluna,presencial,infantil,,aqu_live_probe;educaweb;educaweb_pilot_fallback,2,False,cross_validation_only
P0051,,Universitat Abat Oliba CEU,private-traditional,Cataluna,presencial,primaria,,aqu_live_probe;educaweb_pilot_fallback,2,False,cross_validation_only
P0052,,Universitat Internacional de Catalunya (UIC),private-traditional,Cataluna,presencial,primaria,,aqu_live_probe;educaweb;educaweb_pilot_fallback,2,False,cross_validation_only
P0053,,Universitat Ramon Llull (URL),private-traditional,Cataluna,presencial,primaria,,aqu_live_probe;educaweb;educaweb_pilot_fallback,2,False,cross_validation_only
P0054,,Universidad CEU Cardenal Herrera,private-traditional,Comunitat Valenciana,presencial,infantil,,avap_live_probe;educaweb_pilot_fallback,2,False,cross_validation_only
P0055,,Universidad Catolica de Valencia San Vicente Martir,private-traditional,Comunitat Valenciana,presencial,infantil,,aneca;avap_live_probe;educaweb;educaweb_pilot_fallback,3,False,cross_validation_only
