programme_id,codigo_ruct,university_name,sector,ccaa,modality,degree,centro,fallback_flag
P0003,,Centro de Estudios Universitarios Cardenal Spinola CEU,adscrito,Andalucia,presencial,infantil,Centro de Estudios Universitarios Cardenal Spinola CEU,cross_validation_only
P0004,,Centro Universitario CEU Andalucia,adscrito,Andalucia,presencial,primaria,Centro Universitario CEU Andalucia,cross_validation_only
P0009,,Centro Universitario EUSES,adscrito,Cataluna,presencial,primaria,Centro Universitario EUSES,cross_validation_only
P0011,,Centro Universitario Salesiano de Sarria,adscrito,Cataluna,presencial,primaria,Centro Universitario Salesiano de Sarria,cross_validation_only
P0018,,Centro de Ensenanza Superior Don Bosco,adscrito,Madrid,presencial,infantil,Centro de Ensenanza Superior Don Bosco,cross_validation_only
P0027,,Centro de Ensenanza Superior Don Bosco,adscrito,Madrid,presencial,primaria,Centro de Ensenanza Superior Don Bosco,cross_validation_only
P0029,,Universidad Isabel I,private-online,Castilla y Leon,online,infantil,,cross_validation_only
P0031,,Universidad Isabel I,private-online,Castilla y Leon,online,primaria,,cross_validation_only
P0034,,Universidad Internacional de La Rioja (UNIR),private-online,La Rioja,online,infantil,,cross_validation_only
P0035,,Universidad Internacional de La Rioja (UNIR),private-online,La Rioja,online,primaria,,cross_validation_only
P0036,,Universidad a Distancia de Madrid (UDIMA),private-online,Madrid,online,infantil,,cross_validation_only
P0037,,Universidad a Distancia de Madrid (UDIMA),private-online,Madrid,online,primaria,,cross_validation_only
P0038,,Universidad Loyola Andalucia,private-traditional,Andalucia,presencial,infantil,,cross_validation_only
P0039,,Universidad Loyola Andalucia,private-traditional,Andalucia,presencial,primaria,,cross_validation_only
P0040,,Universidad San Jorge,private-traditional,Aragon,presencial,infantil,,cross_validation_only
P0041,,Universidad San Jorge,private-traditional,Aragon,presencial,primaria,,cross_validation_only
P0042,,Universidad del Atlantico Medio,private-traditional,Canarias,presencial,infantil,,cross_validation_only
P0043,,Universidad del Atlantico Medio,private-traditional,Canarias,presencial,primaria,,cross_validation_only
P0045,,Universidad Pontificia de Salamanca,private-traditional,Castilla y Leon,presencial,infantil,,cross_validation_only
P0047,,Universidad Pontificia de Salamanca,private-traditional,Castilla y Leon,presencial,primaria,,cross_validation_only
P0049,,Universitat Internacional de Catalunya (UIC),private-traditional,Cataluna,presencial,infantil,,cross_validation_only
P0052,,Universitat Internacional de Catalunya (UIC),private-traditional,Cataluna,presencial,primaria,,cross_validation_only
P0056,,Universidad Europea de Valencia,private-traditional,Comunitat Valenciana,presencial,infantil,,cross_validation_only
P0057,,Universidad CEU Cardenal Herrera,private-traditional,Comunitat Valenciana,presencial,primaria,,cross_validation_only
P0061,,Universidad Antonio de Nebrija,private-traditional,Madrid,presencial,infantil,,cross_validation_only
P0071,,Universidad Camilo Jose Cela,private-traditional,Madrid,presencial,primaria,,cross_validation_only
P0076,,Universidad de Navarra,private-traditional,Navarra,presencial,infantil,,cross_validation_only
P0077,,Universidad de Navarra,private-traditional,Navarra,presencial,primaria,,cross_validation_only
P0078,,Mondragon Unibertsitatea,private-traditional,Pais Vasco,presencial,infantil,,cross_validation_only
P0079,,Universidad de Deusto,private-traditional,Pais Vasco,presencial,infantil,,cross_validation_only
P0089,,Universidad de Sevilla,public,Andalucia,presencial,infantil,,cross_validation_only
P0096,,Universidad de Malaga,public,Andalucia,presencial,primaria,,cross_validation_only
P0098,,Universidad de Zaragoza,public,Aragon,presencial,infantil,,cross_validation_only
