source,degree,university_name,centro,title,ccaa,sector_hint,modality_hint,fetch_ts,url
aneca,infantil,Universidad Europea de Madrid,,Grado en Grado en Maestro/a en Educación Primaria,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
aneca,infantil,Universidad del Atlántico Medio,,Grado en Grado en Maestro en Educación Infantil,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
aneca,infantil,Universidad a Distancia de Madrid,,Grado en Grado en Magisterio en Educación Infantil,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
aneca,infantil,Universidad Tecnología y Empresa,,Grado en Grado en Maestro en Educación Infantil,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
aneca,infantil,Universidad Católica Santa Teresa de Jesús de Ávila,,Grado en Maestro en Educación Infantil,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
aneca,infantil,Universidad de Salamanca,,Grado en Maestro en Educación Primaria,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
aneca,infantil,Universidad de Santiago de Compostela,,Grado en Maestro/a de Educación Primaria,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
aneca,infantil,Universidad de Alicante,,Grado en Maestro en Educación Primaria,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
aneca,infantil,Universidad de Alcalá,,Grado en Grado en Magisterio de Educación Primaria,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
aneca,infantil,Universidad Camilo José Cela,,Grado en de Maestro en Educación Primaria,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
aneca,infantil,Universidad de Málaga,,Grado en Maestro/a de Educación Primaria,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
aneca,infantil,Universidad de La Laguna,,Grado en Maestro en Educación Primaria,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
aneca,infantil,Universidad de Huelva,,Grado en Maestro/a de Educación Primaria,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
aneca,infantil,Universidad de Granada,,Grado en Maestro de Educación Primaria,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
aneca,infantil,Universidad de Cádiz,,Grado en Magisterio de Educación Infantil,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
aneca,infantil,Universidad de Almería,,Grado en de Maestro o Maestra en Educación Primaria,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
aneca,infantil,Universidad de Oviedo,,Grado en Maestro en Educación Primaria,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
aneca,infantil,Universidad Jaume I de Castellón,,Grado en Maestro en Educación Primaria,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
aneca,infantil,Universidad de Cantabria,,Grado en Magisterio en Educación Primaria,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
aneca,infantil,Universidad Alfonso X El Sabio,,Grado en Maestro en Educación Primaria,Unknown,unknown,unknown,2026-04-27T10:07:44.352549+00:00,https://srv.aneca.es/ListadoTitulos/busqueda-titulaciones
