source,agency,degree,university_name,ccaa,sector_hint,modality_hint,fetch_ts,url
aqu_live_probe,AQU Catalunya,infantil,Universitat Autonoma de Barcelona,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,primaria,Universitat Autonoma de Barcelona,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,infantil,Universitat de Barcelona,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,primaria,Universitat de Barcelona,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,infantil,Universitat Rovira i Virgili,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,primaria,Universitat Rovira i Virgili,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,infantil,Universitat de Lleida,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,primaria,Universitat de Lleida,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,infantil,Universitat de Girona,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,primaria,Universitat de Girona,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,infantil,Universitat de Vic - UCC,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,primaria,Universitat de Vic - UCC,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,infantil,Universitat Pompeu Fabra,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,primaria,Universitat Pompeu Fabra,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,infantil,Universitat Politecnica de Catalunya,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,primaria,Universitat Politecnica de Catalunya,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,infantil,Universitat Oberta de Catalunya,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,primaria,Universitat Oberta de Catalunya,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,infantil,Universitat Internacional de Catalunya,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,primaria,Universitat Internacional de Catalunya,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,infantil,Universitat Ramon Llull,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,primaria,Universitat Ramon Llull,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,infantil,Universitat Abat Oliba CEU,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
aqu_live_probe,AQU Catalunya,primaria,Universitat Abat Oliba CEU,Cataluna,public,presencial,2026-04-27T10:07:54.552999+00:00,https://www.aqu.cat/universitats/Avaluacio-de-titulacions/Verificacio
