source,agency,degree,university_name,ccaa,sector_hint,modality_hint,fetch_ts,url
madrimasd_pilot_seed,Madri+d,infantil,Universidad Complutense de Madrid,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,primaria,Universidad Complutense de Madrid,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,infantil,Universidad Autonoma de Madrid,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,primaria,Universidad Autonoma de Madrid,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,infantil,Universidad Rey Juan Carlos,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,primaria,Universidad Rey Juan Carlos,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,infantil,Universidad de Alcala,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,primaria,Universidad de Alcala,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,infantil,Universidad Politecnica de Madrid,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,primaria,Universidad Politecnica de Madrid,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,infantil,Universidad Carlos III de Madrid,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,primaria,Universidad Carlos III de Madrid,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,infantil,Universidad Nacional de Educacion a Distancia,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,infantil,Universidad Camilo Jose Cela,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,primaria,Universidad Camilo Jose Cela,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,infantil,Universidad Alfonso X El Sabio,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,primaria,Universidad Alfonso X El Sabio,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,infantil,Universidad Francisco de Vitoria,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,primaria,Universidad Francisco de Vitoria,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,infantil,Universidad CEU San Pablo,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,primaria,Universidad CEU San Pablo,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,infantil,Universidad Antonio de Nebrija,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,primaria,Universidad Antonio de Nebrija,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,infantil,Universidad Europea de Madrid,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,primaria,Universidad Europea de Madrid,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,infantil,Universidad a Distancia de Madrid,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
madrimasd_pilot_seed,Madri+d,primaria,Universidad a Distancia de Madrid,Madrid,public,presencial,2026-04-27T10:08:14.833644+00:00,https://www.madrimasd.org/calidaduniversidades/
